"Code";"Waarde";"DatumVanaf";"DatumTot";"Toelichting"
"001";"Akte van Koop en Verkoop";"2011-01-01";;"tbv migratie/conversie AKR"
"002";"Akte van Ruiling";"2011-01-01";;"tbv migratie/conversie AKR"
"003";"Akte van Scheiding onverdeeldheid";"2011-01-01";;"tbv migratie/conversie AKR"
"004";"Akte van Scheiding huwelijksgoederengemeenschap";"2011-01-01";;"tbv migratie/conversie AKR"
"005";"Akte van Schenking";"2011-01-01";;"tbv migratie/conversie AKR"
"006";"Akte van Inbreng";"2011-01-01";;"tbv migratie/conversie AKR"
"007";"Akte van Vestiging zakelijk recht van Erfpacht";"2011-01-01";;"tbv migratie/conversie AKR"
"008";"Akte van Vestiging zakelijk recht van Opstal";"2011-01-01";;"tbv migratie/conversie AKR"
"009";"Akte van Vestiging zakelijk recht van Vruchtgebruik";"2011-01-01";;"tbv migratie/conversie AKR"
"010";"Akte van Vestiging zakelijk recht van B.P.art.5, lid 3, letter B";"2011-01-01";;"tbv migratie/conversie AKR"
"011";"Akte van Vestiging zakelijk recht van Gebruik en Bewoning";"2011-01-01";;"tbv migratie/conversie AKR"
"012";"Akte van Vestiging zakelijk recht overig";"2011-01-01";;"tbv migratie/conversie AKR"
"013";"Akte van Grensregeling of Dading";"2011-01-01";;"tbv migratie/conversie AKR"
"014";"Akte van Vestiging Erfdienstbaarheden";"2011-01-01";;"tbv migratie/conversie AKR"
"015";"Akte van Huurkoop";"2011-01-01";;"tbv migratie/conversie AKR"
"016";"Akte c.q. vonnis van Ontbinding Koopovereenkomst";"2011-01-01";;"tbv migratie/conversie AKR"
"017";"Akte van Ontbinding m.b.t. Rechtspersoon/niet Rechts-persoon";"2011-01-01";;"tbv migratie/conversie AKR"
"018";"Akte van Algemene Voorwaarden";"2011-01-01";;"tbv migratie/conversie AKR"
"019";"Akte van Algemene Veilingsvoorwaarden";"2011-01-01";;"tbv migratie/conversie AKR"
"020";"Akte van Consessie";"2011-01-01";;"tbv migratie/conversie AKR"
"021";"Akte van Publieke Verkoop (provisioneel)";"2011-01-01";;"tbv migratie/conversie AKR"
"022";"Akte van Publieke Verkoop op vrijwillige basis (definitief)";"2011-01-01";;"tbv migratie/conversie AKR"
"023";"Akte van Publieke Verkoop op grond van art. 1223 B.W. (definitief)";"2011-01-01";;"tbv migratie/conversie AKR"
"024";"Akte van Bekrachting";"2011-01-01";;"tbv migratie/conversie AKR"
"025";"Akte van Splitsing in Appartementsrechten";"2011-01-01";;"tbv migratie/conversie AKR"
"026";"Akte van Ondersplitsing in Appartementsrechten";"2011-01-01";;"tbv migratie/conversie AKR"
"027";"Akte van Wijziging Splitsing in Appartementsrechten m.b.t. Appartementen";"2011-01-01";;"tbv migratie/conversie AKR"
"028";"Akte van Wijziging Splitsing in Appartementsrechten m.b.t. Reglement";"2011-01-01";;"tbv migratie/conversie AKR"
"029";"Akte van Wijziging Ondersplitsing in Appartementsrechten";"2011-01-01";;"tbv migratie/conversie AKR"
"030";"Akte van Opheffing Splitsing in Appartementsrechten";"2011-01-01";;"tbv migratie/conversie AKR"
"031";"Akte van Opheffing Ondersplitsing in Appartementsrechten";"2011-01-01";;"tbv migratie/conversie AKR"
"032";"Akte van Wijziging Splitsing in Appartementsrechten m.b.t. Onttrekken Grondperceel";"2011-01-01";;"tbv migratie/conversie AKR"
"033";"Akte van Wijziging Splitsing in Appartementsrechten m.b.t. Toevoegen Grondperceel";"2011-01-01";;"tbv migratie/conversie AKR"
"034";"Akte van Verkrijging onder Opschortende Voorwaarde";"2011-01-01";;"tbv migratie/conversie AKR"
"035";"Akte van Vervulling Opschortende Voorwaarde";"2011-01-01";;"tbv migratie/conversie AKR"
"036";"Akte van Vervulling Ontbindende Voorwaarde";"2011-01-01";;"tbv migratie/conversie AKR"
"037";"Akte of Verklaring dat Opschortende Voorwaarde niet meer vervuld kan worden";"2011-01-01";;"tbv migratie/conversie AKR"
"038";"Akte of Verklaring dat Ontbindende Voorwaarde niet meer vervuld kan worden";"2011-01-01";;"tbv migratie/conversie AKR"
"039";"Akte gebruikmaking van het ""voorbehouden"" recht van Wederinkoop";"2011-01-01";;"tbv migratie/conversie AKR"
"040";"Akte Afkoop Grondrente";"2011-01-01";;"tbv migratie/conversie AKR"
"041";"Stuk brengen percelen onder de Monumentenwet";"2011-01-01";;"tbv migratie/conversie AKR"
"042";"Stuk brengen percelen onder de Natuurmonumentenwet";"2011-01-01";;"tbv migratie/conversie AKR"
"043";"Stuk brengen percelen onder de Deltawet";"2011-01-01";;"tbv migratie/conversie AKR"
"044";"Stuk opleggen van een B.P. gedoogplicht";"2011-01-01";;"tbv migratie/conversie AKR"
"045";"Stuk opleggen van een B.L. gedoogplicht";"2011-01-01";;"tbv migratie/conversie AKR"
"046";"Vonnis van Toewijzing";"2011-01-01";;"tbv migratie/conversie AKR"
"047";"Eenzijdige verklaring van eigendomsovergang door verjaring";"2011-01-01";;"tbv migratie/conversie AKR"
"048";"Akte van Scheiding ingev. art. 126 IKR";"2011-01-01";;"tbv migratie/conversie AKR"
"049";"Tweezijdige verklaring van eigendomsovergang door verjaring";"2011-01-01";;"tbv migratie/conversie AKR"
"050";"Eenzijdige afstand (beperkt) zakelijk recht";"2011-01-01";;"tbv migratie/conversie AKR"
"051";"Vervallen verklaring (beperkt) zakelijk recht";"2011-01-01";;"tbv migratie/conversie AKR"
"052";"Tweezijdige afstand zakelijk recht";"2011-01-01";;"tbv migratie/conversie AKR"
"053";"Vonnis van Onteigening";"2011-01-01";;"tbv migratie/conversie AKR"
"054";"Voorlopig Koopcontract";"2011-01-01";;"tbv migratie/conversie AKR"
"055";"Akte Kwitantie betaalde kooppenningen";"2011-01-01";;"tbv migratie/conversie AKR"
"056";"Akte Splitsing erfpachtscanon";"2011-01-01";;"tbv migratie/conversie AKR"
"057";"Akte Naamswijziging rechtspersoon";"2011-01-01";;"tbv migratie/conversie AKR"
"058";"Akte besluit G.S. betreffende wegen en waterlopen of afschrift van een K.B.";"2011-01-01";;"tbv migratie/conversie AKR"
"059";"Akte Ruilverkavelingsovereenkomst c.q. overeenkomst van kavelruil";"2011-01-01";;"tbv migratie/conversie AKR"
"060";"Akte verklaring koper het verkregene zelf te behouden";"2011-01-01";;"tbv migratie/conversie AKR"
"061";"Akte bijdrage ineens aan vermelde eigenaren";"2011-01-01";;"tbv migratie/conversie AKR"
"062";"Stuk verstrekking van een lening krachtens wet Bezitsvormingsfonds aan vermelde eigenaren";"2011-01-01";;"tbv migratie/conversie AKR"
"063";"Stuk aanbrengen beperkende bepaling op zakelijk recht overig";"2011-01-01";"2014-03-01";"tbv migratie/conversie AKR"
"064";"Stuk doorhaling beperkende bepaling op zak. recht overig (géén overboeking)";"2011-01-01";;"tbv migratie/conversie AKR"
"065";"Stuk doorhaling beperkende bepaling op zak. recht overig (wel overboeking)";"2011-01-01";;"tbv migratie/conversie AKR"
"066";"Bezwaarschrift tegen overboeking binnen de gestelde bezwaartermijn";"2011-01-01";;"tbv migratie/conversie AKR"
"067";"Bezwaarschrift tegen overboeking na de gestelde bezwaartermijn";"2011-01-01";;"tbv migratie/conversie AKR"
"068";"Verklaring van geen bezwaar binnen de gegeven bezwaartermijn";"2011-01-01";;"tbv migratie/conversie AKR"
"069";"Stuk n.a.v. niet indienen van bezwaarschrift binnen de gegeven bezwaartermijn";"2011-01-01";;"tbv migratie/conversie AKR"
"070";"Opgave % water t.b.v. domeinen";"2011-01-01";;"tbv migratie/conversie AKR"
"071";"Beheersoverdracht i.o.v. de domeinbeheerder";"2011-01-01";;"tbv migratie/conversie AKR"
"072";"Beheersoverdracht i.o.v. de direkteur van het Staatsbosbeheer";"2011-01-01";;"tbv migratie/conversie AKR"
